,prime,target,target.RT,target_freq,bin,bin_index,mean_freq
42,acquire,get,628.7096774193549,1905.4607179632483,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
43,acquire,offense,747.0,18.197008586099827,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
44,acre,land,571.9032258064516,165.95869074375597,"(144.5439770745928, 199.52623149688787]",q15,172.03510428574032
45,acre,vanish,779.2666666666667,2.454708915685031,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
46,acrobat,dancer,604.0,9.772372209558112,"(7.244359600749899, 10.0]",q3,8.62217980037495
47,acrobat,jewish,748.1333333333333,40.7380277804113,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
48,act,pie,664.4444444444445,15.488166189124827,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
49,act,play,551.3548387096774,407.380277804113,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
50,action,noise,647.8709677419355,35.481338923357534,"(29.51209226666384, 37.15352290971728]",q8,33.33280758819056
51,action,verb,650.7096774193549,5.248074602497728,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
52,actor,actress,667.5806451612904,28.18382931264455,"(23.9883291901949, 29.51209226666384]",q7,26.75021072842937
53,actor,color,591.5625,81.28305161640995,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
54,actress,actor,661.3225806451613,44.668359215096345,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
55,actress,key,576.21875,131.82567385564073,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
56,ad,ask,690.40625,218.77616239495518,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
57,ad,sell,687.551724137931,95.49925860214368,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
58,add,lion,647.8928571428571,17.78279410038923,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
59,add,subtract,707.1875,1.2589254117941675,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
60,addict,dependent,698.1,19.054607179632484,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
61,addict,mob,747.5909090909091,10.71519305237607,"(10.0, 13.182567385564074]",q4,11.591283692782037
62,addiction,habit,661.9032258064516,17.378008287493763,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
63,addiction,poker,637.0333333333333,9.332543007969914,"(7.244359600749899, 10.0]",q3,8.62217980037495
64,addition,plus,674.6666666666666,89.12509381337459,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
65,addition,thunder,754.6774193548387,13.803842646028839,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
66,adjective,bank,631.6206896551724,144.5439770745928,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
67,adjective,blue,635.1290322580645,134.89628825916532,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
68,adjourn,finish,649.5483870967741,81.28305161640995,"(70.79457843841374, 87.09635899560814]",q12,78.94546871701094
69,adjourn,light,556.6206896551724,213.79620895022325,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
70,adjustment,bra,746.9354838709677,7.07945784384138,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
71,adjustment,stone,657.09375,63.0957344480193,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
72,admission,ax,771.5882352941177,2.1877616239495516,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
73,admission,ticket,557.5666666666667,40.7380277804113,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
74,admit,confess,750.7741935483871,6.6069344800759575,"(5.011872336272725, 7.244359600749899]",q2,6.128115968511311
75,admit,remember,736.3225806451613,239.88329190194898,"(199.52623149688787, 295.1209226666384]",q16,247.32357708176315
76,adolescent,gain,608.84375,64.56542290346549,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
77,adolescent,juvenile,876.8965517241379,7.585775750291836,"(7.244359600749899, 10.0]",q3,8.62217980037495
78,adorable,cute,572.59375,44.668359215096345,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
79,adorable,tantrum,884.0,1.3489628825916533,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
80,advance,forward,654.75,131.82567385564073,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
81,advance,garbage,782.9655172413793,15.135612484362072,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
