Unnamed: 0,prime,target,target.RT,avg_neigh_cos
2857,her,she,609.59375,0.6452631578947369
2858,herb,garden,659.78125,0.508421052631579
2859,herb,success,623.9032258064516,0.508421052631579
2860,herd,buffalo,731.3125,0.4884210526315789
2861,herd,greed,650.4285714285714,0.4884210526315789
2862,here,enlarge,814.3793103448276,0.7247368421052631
2863,here,there,672.4193548387096,0.7247368421052631
2864,hero,superman,723.9677419354839,0.4905263157894737
2865,hero,toe,676.0666666666667,0.4905263157894737
2866,heroin,abuse,740.4827586206897,0.5705263157894737
2867,heroin,drugs,613.1818181818181,0.5705263157894737
2868,heroine,drug,734.483870967742,0.4678947368421052
2869,heroine,strong,616.1290322580645,0.4678947368421052
2870,hesitate,poker,617.448275862069,0.4094736842105263
2871,hesitate,wait,593.9333333333333,0.4094736842105263
2872,hidden,secret,642.7096774193549,0.4757894736842105
2873,hidden,unusual,758.65625,0.4757894736842105
2874,hide,dinner,647.8387096774194,0.5057894736842105
2875,hide,seek,675.516129032258,0.5057894736842105
2876,high,low,610.3103448275862,0.4273684210526316
2877,high,neutron,856.9285714285714,0.4273684210526316
2878,highlight,condom,674.9666666666667,0.3336842105263158
2879,highlight,marker,671.3548387096774,0.3336842105263158
2880,hike,angel,637.375,0.4221052631578947
2881,hike,walk,646.6333333333333,0.4221052631578947
2882,hiker,hitchhike,1010.3448275862067,0.37894736842105264
2883,hiker,recipe,788.21875,0.37894736842105264
2886,hill,devil,660.4193548387096,0.4394736842105263
2887,hill,mountain,670.3125,0.4394736842105263
2888,him,her,753.8125,0.6405263157894737
2889,him,virtue,807.3333333333334,0.6405263157894737
2890,hindsight,foresight,795.1290322580645,0.3652631578947368
2891,hindsight,sting,723.8518518518518,0.3652631578947368
2892,hinge,alright,645.71875,0.41842105263157897
2893,hinge,swing,615.2903225806451,0.41842105263157897
2894,hint,clue,545.6451612903226,0.41
2895,hint,faint,637.0967741935484,0.41
2896,hip,bone,628.258064516129,0.4231578947368422
2897,hip,cocaine,713.6129032258065,0.4231578947368422
2900,history,balloon,625.2424242424242,0.39999999999999997
2901,history,war,595.9333333333333,0.39999999999999997
2902,hitch,hug,625.9375,0.35105263157894734
2903,hitch,trailer,639.78125,0.35105263157894734
2904,hitchhike,stomach,648.7878787878788,0.4342105263157895
2905,hitchhike,thumb,668.0625,0.4342105263157895
2906,hive,bee,619.6551724137931,0.4189473684210526
2907,hive,rug,610.2758620689655,0.4189473684210526
2908,hobo,bum,752.258064516129,0.4342105263157895
2909,hobo,narrow,652.1,0.4342105263157895
2910,hoe,doll,629.8571428571429,0.37473684210526315
2911,hoe,garden,617.516129032258,0.37473684210526315
2912,hold,grasp,696.258064516129,0.5668421052631579
2913,hold,sticky,751.6451612903226,0.5668421052631579
2914,hole,ground,552.15625,0.4247368421052632
2915,hole,path,720.741935483871,0.4247368421052632
2916,home,family,693.4193548387096,0.6094736842105263
2917,home,talk,665.8333333333334,0.6094736842105263
2918,homework,father,562.25,0.4652631578947368
2919,homework,study,608.2903225806451,0.4652631578947368
2920,honest,nail,695.0689655172414,0.5268421052631579
2921,honest,truth,638.46875,0.5268421052631579
2922,honesty,mouse,679.074074074074,0.5147368421052633
2923,honesty,virtue,784.1851851851852,0.5147368421052633
2924,honey,george,854.7666666666667,0.6710526315789473
2925,honey,sweet,612.6451612903226,0.6710526315789473
2926,honeymoon,juice,583.6875,0.47631578947368425
2927,honeymoon,wedding,567.46875,0.47631578947368425
2928,hoop,hula,917.1666666666666,0.34157894736842104
2929,hoop,success,656.71875,0.34157894736842104
2930,hoot,owl,635.84375,0.3968421052631579
2931,hoot,relationshi,695.6774193548387,0.3968421052631579
2932,hope,glory,626.15625,0.5889473684210527
2933,hope,indian,722.7241379310345,0.5889473684210527
2934,hopeless,alright,723.375,0.4610526315789474
2935,hopeless,homeless,745.8064516129032,0.4610526315789474
2936,horn,cards,747.28125,0.4378947368421053
2937,horn,instrument,698.4,0.4378947368421053
2938,hornet,drive,582.9090909090909,0.39210526315789473
2939,hornet,sting,638.4516129032259,0.39210526315789473
2940,horrible,peanut,758.6,0.5889473684210527
2941,horrible,terrible,605.4193548387096,0.5889473684210527
2942,host,hostess,717.2903225806451,0.36473684210526314
2943,host,morning,687.6666666666666,0.36473684210526314
2944,hostage,heart,609.0967741935484,0.4189473684210526
2945,hostage,prisoner,695.125,0.4189473684210526
2946,hostess,days,597.1212121212121,0.44947368421052625
2947,hostess,restaurant,662.53125,0.44947368421052625
2948,hotel,motel,643.3,0.49789473684210533
2949,hotel,pavement,734.7096774193549,0.49789473684210533
2950,hotter,summer,711.4,0.48578947368421055
2951,hotter,vegetables,654.6875,0.48578947368421055
2952,hound,blood,577.46875,0.4405263157894737
2953,hound,city,587.1612903225806,0.4405263157894737
2954,hour,fudge,648.8620689655172,0.4731578947368421
2955,hour,minute,579.90625,0.4731578947368421
2958,house,brick,661.8387096774194,0.5221052631578947
2959,house,eleven,599.0344827586207,0.5221052631578947
2960,how,stupid,631.8064516129032,0.6773684210526315
2961,how,who,646.5,0.6773684210526315
2962,hue,color,624.59375,0.4047368421052632
2963,hue,different,683.375,0.4047368421052632
2964,hug,arms,729.5483870967741,0.4905263157894737
2965,hug,looks,652.75,0.4905263157894737
2966,huge,big,596.9032258064516,0.5626315789473684
2967,huge,no,632.53125,0.5626315789473684
2968,hula,hoop,621.7741935483871,0.38263157894736843
2969,hula,hostess,774.53125,0.38263157894736843
2970,hull,boat,651.7741935483871,0.43631578947368427
2971,hull,heart,594.0645161290323,0.43631578947368427
2972,human,being,648.4333333333333,0.4531578947368421
2973,human,shirt,614.741935483871,0.4531578947368421
2974,humiliate,embarrass,881.8214285714286,0.4547368421052631
2975,humiliate,smart,643.40625,0.4547368421052631
2976,hundred,puzzle,599.375,0.6710526315789473
2977,hundred,thousand,652.40625,0.6710526315789473
2978,hung,directions,714.15625,0.4473684210526316
2979,hung,up,632.0344827586207,0.4473684210526316
2980,hunger,africa,779.0666666666667,0.47263157894736846
2981,hunger,hallway,882.7333333333333,0.47263157894736846
2982,hungry,full,598.7575757575758,0.6057894736842105
2983,hungry,shop,626.0967741935484,0.6057894736842105
2984,hunt,find,651.6896551724138,0.44842105263157894
2985,hunt,flowers,671.6774193548387,0.44842105263157894
2986,hurricane,busy,768.6551724137931,0.4263157894736842
